,1 vs. 0,2 vs. 0,2 vs. 1
0,0.747,0.63,-0.117
,"[0.363, 1.131]","[0.108, 1.152]","[-0.601, 0.367]"
1,0.798,0.717,-0.081
,"[0.425, 1.171]","[0.204, 1.23]","[-0.558, 0.397]"
2,0.811,0.7,-0.111
,"[0.441, 1.18]","[0.159, 1.241]","[-0.617, 0.396]"
3,0.799,0.651,-0.147
,"[0.425, 1.173]","[0.097, 1.206]","[-0.669, 0.374]"
4,0.826,0.668,-0.158
,"[0.466, 1.186]","[0.128, 1.208]","[-0.674, 0.359]"
5,0.841,0.704,-0.136
,"[0.476, 1.206]","[0.168, 1.241]","[-0.64, 0.367]"
