,1 vs. 0,2 vs. 0,2 vs. 1
0,0.735,0.598,-0.137
,"[0.35, 1.12]","[0.07, 1.126]","[-0.643, 0.368]"
1,0.753,0.588,-0.164
,"[0.379, 1.127]","[0.022, 1.155]","[-0.71, 0.382]"
2,0.813,0.664,-0.149
,"[0.448, 1.179]","[0.132, 1.196]","[-0.656, 0.357]"
3,0.788,0.651,-0.136
,"[0.41, 1.165]","[0.114, 1.189]","[-0.635, 0.363]"
4,0.844,0.781,-0.063
,"[0.469, 1.218]","[0.259, 1.303]","[-0.542, 0.416]"
5,0.919,0.828,-0.092
,"[0.553, 1.286]","[0.3, 1.356]","[-0.572, 0.388]"
