,1 vs. 0,2 vs. 0,2 vs. 1
0,-0.072,-0.085,-0.013
,"[-0.153, 0.01]","[-0.191, 0.022]","[-0.113, 0.087]"
1,-0.054,-0.094,-0.04
,"[-0.126, 0.018]","[-0.188, -0.0]","[-0.121, 0.041]"
2,0.007,-0.018,-0.025
,"[-0.037, 0.05]","[-0.077, 0.041]","[-0.078, 0.028]"
3,-0.019,-0.031,-0.012
,"[-0.066, 0.028]","[-0.097, 0.036]","[-0.072, 0.049]"
4,0.037,0.099,0.062
,"[-0.027, 0.101]","[0.012, 0.186]","[-0.02, 0.143]"
5,0.113,0.146,0.033
,"[0.026, 0.2]","[0.038, 0.253]","[-0.063, 0.129]"
