,1 vs. 0,2 vs. 0,2 vs. 1
0,-0.059,-0.052,0.007
,"[-0.113, -0.006]","[-0.121, 0.017]","[-0.054, 0.069]"
1,-0.009,0.035,0.044
,"[-0.045, 0.027]","[-0.016, 0.086]","[-0.005, 0.092]"
2,0.004,0.018,0.014
,"[-0.021, 0.03]","[-0.028, 0.064]","[-0.03, 0.058]"
3,-0.008,-0.031,-0.023
,"[-0.035, 0.02]","[-0.073, 0.012]","[-0.063, 0.017]"
4,0.019,-0.014,-0.033
,"[-0.013, 0.052]","[-0.061, 0.033]","[-0.078, 0.011]"
5,0.034,0.022,-0.012
,"[-0.015, 0.083]","[-0.046, 0.091]","[-0.075, 0.051]"
