line_Treat 0,line_Treat 1,line_Treat 2,bin_Treat 0,bin_Treat 1,bin_Treat 2
0.512225420531854,0.39571349751064006,0.49214753635945147,0.1005019841269842,0.08554166666666663,0.05964880952380959
0.9754959649483561,0.824602773313632,0.9624298089319473,0.1538063208616781,0.14173067765567762,0.11291793650793658
1.6001630603735366,1.4529310915982048,1.609846748291908,0.20711065759637198,0.19791968864468862,0.16618706349206358
2.2608795069853067,2.164619383070809,2.303253406974176,0.26041499433106585,0.25410869963369964,0.21945619047619058
2.7514714304743837,2.7268067968158975,2.818646604183907,0.3137193310657597,0.3102977106227106,0.2727253174603176
2.8842108860826823,2.904447240711101,2.9504024031717098,0.3670236678004536,0.36648672161172163,0.32599444444444453
2.6041346083077554,2.615826380155421,2.641578957826978,0.4203280045351475,0.42267573260073266,0.37926357142857153
2.0252295726908525,1.9920059798904886,2.022961690073861,0.4736323412698414,0.4788647435897436,0.43253269841269854
1.3566240287951894,1.2826514594098328,1.325114599633561,0.5269366780045353,0.5350537545787546,0.48580182539682554
0.7827429476532797,0.6983336679735571,0.7424392750901442,0.5802410147392292,0.5912427655677657,0.5390709523809526
0.38900325497277327,0.32147973451377093,0.35580345073873515,0.633545351473923,0.6474317765567766,0.5923400793650795
0.1665182050118646,0.12513549634321247,0.14584820620029257,0.6868496882086169,0.7036207875457876,0.6456092063492065
0.06139664215661207,0.04118544277669393,0.051136823477645546,0.7401540249433108,0.7598097985347987,0.6988783333333335
0.019498532757322256,0.01146154746890895,0.015335859479058349,0.7934583616780047,0.8159988095238097,0.7521474603174605
0.005333762315342991,,0.003933908122182007,0.8467626984126986,,0.8054165873015875
,,0.0008631415501567472,,,0.8586857142857145
