,1 vs. 0,2 vs. 0,2 vs. 1
0,0.726,0.584,-0.142
,"[0.345, 1.107]","[0.035, 1.133]","[-0.67, 0.386]"
1,0.743,0.559,-0.183
,"[0.369, 1.117]","[-0.005, 1.124]","[-0.722, 0.355]"
2,0.803,0.628,-0.175
,"[0.434, 1.173]","[0.1, 1.155]","[-0.674, 0.323]"
3,0.769,0.616,-0.154
,"[0.398, 1.141]","[0.066, 1.166]","[-0.669, 0.362]"
4,0.83,0.744,-0.085
,"[0.453, 1.206]","[0.227, 1.262]","[-0.558, 0.387]"
5,0.904,0.786,-0.118
,"[0.539, 1.269]","[0.259, 1.313]","[-0.599, 0.362]"
