,1 vs. 0,2 vs. 0,2 vs. 1
0,-0.059,-0.037,0.021
,"[-0.112, -0.005]","[-0.108, 0.034]","[-0.042, 0.085]"
1,-0.01,0.031,0.04
,"[-0.046, 0.027]","[-0.022, 0.083]","[-0.008, 0.088]"
2,0.007,0.017,0.009
,"[-0.017, 0.032]","[-0.026, 0.059]","[-0.032, 0.05]"
3,-0.008,-0.03,-0.022
,"[-0.035, 0.019]","[-0.072, 0.012]","[-0.061, 0.017]"
4,0.017,-0.01,-0.027
,"[-0.017, 0.05]","[-0.059, 0.039]","[-0.073, 0.019]"
5,0.034,0.012,-0.022
,"[-0.017, 0.085]","[-0.057, 0.082]","[-0.086, 0.042]"
