upper,effects,lower,ate,z_values
0.07327870242481037,-0.01781137502300097,-0.1089014524708123,0.0,0.0
0.19184776017996655,0.07380905927582564,-0.044229641628315275,0.0,1.0
0.1073674261025188,0.0059125352756373515,-0.09554235555124409,0.0,2.0
0.16183195388717814,0.08694196918729591,0.012051984487413694,0.0,3.0
0.05867778709491172,-0.048070282691279186,-0.15481835247747008,0.0,4.0
0.10245629075006868,0.002679053845293912,-0.09709818305948087,0.0,5.0
0.016798615090902344,-0.06583161964340185,-0.14846185437770604,0.0,6.0
0.052156340420280105,-0.0388729255543779,-0.1299021915290359,0.0,7.0
0.04700688957180952,-0.02488705959932167,-0.09678100877045287,0.0,8.0
0.021948805575587933,-0.05291960071470265,-0.12778800700499324,0.0,9.0
