,1 vs. 0,2 vs. 0,2 vs. 1
0,0.735,0.612,-0.123
,"[0.348, 1.123]","[0.093, 1.131]","[-0.605, 0.359]"
1,0.784,0.68,-0.104
,"[0.408, 1.16]","[0.168, 1.191]","[-0.578, 0.369]"
2,0.801,0.666,-0.136
,"[0.432, 1.171]","[0.147, 1.184]","[-0.62, 0.349]"
3,0.786,0.619,-0.167
,"[0.413, 1.159]","[0.072, 1.166]","[-0.679, 0.345]"
4,0.811,0.639,-0.172
,"[0.445, 1.176]","[0.113, 1.165]","[-0.669, 0.326]"
5,0.828,0.662,-0.167
,"[0.465, 1.191]","[0.13, 1.193]","[-0.666, 0.333]"
