,1 vs. 0,2 vs. 0,2 vs. 1
0,-0.068,-0.065,0.003
,"[-0.143, 0.007]","[-0.163, 0.033]","[-0.091, 0.097]"
1,-0.051,-0.09,-0.039
,"[-0.117, 0.016]","[-0.176, -0.003]","[-0.114, 0.036]"
2,0.009,-0.021,-0.031
,"[-0.03, 0.049]","[-0.074, 0.031]","[-0.076, 0.015]"
3,-0.024,-0.033,-0.009
,"[-0.068, 0.02]","[-0.095, 0.029]","[-0.066, 0.048]"
4,0.036,0.095,0.059
,"[-0.023, 0.095]","[0.013, 0.177]","[-0.018, 0.136]"
5,0.11,0.137,0.026
,"[0.034, 0.186]","[0.042, 0.231]","[-0.059, 0.112]"
